year,category,question,answer,percentage,total_answers
2021,Service and Support Network / Complaint,"Because of this violence, have you sought any kind of health care?",NS/NR,0,0
2023,Service and Support Network / Complaint,"Because of this violence, have you sought any kind of health care?",Yes,31,6753
2023,Service and Support Network / Complaint,"Because of this violence, have you sought any kind of health care?",No,68,14815
2023,Service and Support Network / Complaint,"Because of this violence, have you sought any kind of health care?",NS/NR,0,0
2019,Service and Support Network / Complaint,Do you know any other women protection service?,Yes,4,96
2019,Service and Support Network / Complaint,Do you know any other women protection service?,No,96,2304
2019,Service and Support Network / Complaint,Do you know any other women protection service?,NS/NR,0,0
2019,Service and Support Network / Complaint,You know or have heard of the protection services for women provided:,Women's Police Station,78,1872
2019,Service and Support Network / Complaint,You know or have heard of the protection services for women provided:,Public defender,52,1248
2019,Service and Support Network / Complaint,You know or have heard of the protection services for women provided:,Shelter houses,47,1128
2019,Service and Support Network / Complaint,You know or have heard of the protection services for women provided:,Brazilian Women's House,37,888
2021,Service and Support Network / Complaint,You know or have heard of the protection services for women provided:,Women's Police Station,82,2460
2021,Service and Support Network / Complaint,You know or have heard of the protection services for women provided:,Public defender,56,1680
2021,Service and Support Network / Complaint,You know or have heard of the protection services for women provided:,Shelter houses,49,1470
2021,Service and Support Network / Complaint,You know or have heard of the protection services for women provided:,Brazilian Women's House,35,1050
2021,Service and Support Network / Complaint,You know or have heard of the protection services for women provided:,Other,6,180
2023,Service and Support Network / Complaint,You know or have heard of the protection services for women provided:,Women's Police Station,95,20697
2023,Service and Support Network / Complaint,You know or have heard of the protection services for women provided:,"Social assistance services, such as CRAS and CREAS",89,19390
2023,Service and Support Network / Complaint,You know or have heard of the protection services for women provided:,Public defender,87,18954
2023,Service and Support Network / Complaint,You know or have heard of the protection services for women provided:,Call one hundred and eighty,79,17211
2023,Service and Support Network / Complaint,You know or have heard of the protection services for women provided:,Shelter houses,57,12418
2023,Service and Support Network / Complaint,You know or have heard of the protection services for women provided:,Brazilian Women's House,38,8279
2023,Service and Support Network / Complaint,You know or have heard of the protection services for women provided:,Other,7,1525
2023,Service and Support Network / Complaint,How do you evaluate the service received in the following services:,Women's Police Station,38,8279
2023,Service and Support Network / Complaint,How do you evaluate the service received in the following services:,Women's Police Station,31,6753
2023,Service and Support Network / Complaint,How do you evaluate the service received in the following services:,Women's Police Station,17,3703
2023,Service and Support Network / Complaint,How do you evaluate the service received in the following services:,Women's Police Station,2,435
2023,Service and Support Network / Complaint,How do you evaluate the service received in the following services:,Women's Police Station,9,1960
2023,Service and Support Network / Complaint,How do you evaluate the service received in the following services:,Women's Police Station,3,653
2023,Service and Support Network / Complaint,How do you evaluate the service received in the following services:,Common police station,23,5011
2023,Service and Support Network / Complaint,How do you evaluate the service received in the following services:,Common police station,30,6536
2023,Service and Support Network / Complaint,How do you evaluate the service received in the following services:,Common police station,24,5228
2023,Service and Support Network / Complaint,How do you evaluate the service received in the following services:,Common police station,5,1089
2023,Service and Support Network / Complaint,How do you evaluate the service received in the following services:,Common police station,18,3921
2023,Service and Support Network / Complaint,How do you evaluate the service received in the following services:,Common police station,1,217
2023,Service and Support Network / Complaint,How do you evaluate the service received in the following services:,Call Center for Women - Call one hundred and eighty,39,8496
2023,Service and Support Network / Complaint,How do you evaluate the service received in the following services:,Call Center for Women - Call one hundred and eighty,28,6100
2023,Service and Support Network / Complaint,How do you evaluate the service received in the following services:,Call Center for Women - Call one hundred and eighty,22,4793
2023,Service and Support Network / Complaint,How do you evaluate the service received in the following services:,Call Center for Women - Call one hundred and eighty,3,653
2023,Service and Support Network / Complaint,How do you evaluate the service received in the following services:,Call Center for Women - Call one hundred and eighty,6,1307
2023,Service and Support Network / Complaint,How do you evaluate the service received in the following services:,Call Center for Women - Call one hundred and eighty,2,435
2005,Profile,How old are you?,16 to 29,36,293
2005,Profile,How old are you?,30 to 39,23,187
2005,Profile,How old are you?,40 to 49,20,163
2005,Profile,How old are you?,50 to 59,11,89
2005,Profile,How old are you?,60+,10,81
2007,Profile,How old are you?,16 to 29,35,278
2007,Profile,How old are you?,30 to 39,20,159
2007,Profile,How old are you?,40 to 49,21,167
2007,Profile,How old are you?,50 to 59,14,111
2007,Profile,How old are you?,60+,10,79
2009,Profile,How old are you?,16 to 29,29,239
2009,Profile,How old are you?,30 to 39,20,165
2009,Profile,How old are you?,40 to 49,21,173
2009,Profile,How old are you?,50 to 59,17,140
2009,Profile,How old are you?,60+,13,107
2011,Profile,How old are you?,16 to 29,27,365
2011,Profile,How old are you?,30 to 39,21,283
2011,Profile,How old are you?,40 to 49,20,270
2011,Profile,How old are you?,50 to 59,17,229
2011,Profile,How old are you?,60+,15,202
2011,Profile,How old are you?,NS/NR,0,0
2013,Profile,How old are you?,16 to 29,29,361
2013,Profile,How old are you?,30 to 39,24,299
2013,Profile,How old are you?,40 to 49,18,224
2013,Profile,How old are you?,50 to 59,15,187
2013,Profile,How old are you?,60+,13,162
2013,Profile,How old are you?,NS/NR,0,0
2015,Profile,How old are you?,16 to 29,30,330
2015,Profile,How old are you?,30 to 39,23,253
2015,Profile,How old are you?,40 to 49,16,176
2015,Profile,How old are you?,50 to 59,18,198
2015,Profile,How old are you?,60+,13,143
2015,Profile,How old are you?,NS/NR,0,0
2017,Profile,How old are you?,16 to 29,28,312
2017,Profile,How old are you?,30 to 39,23,256
2017,Profile,How old are you?,40 to 49,16,178
2017,Profile,How old are you?,50 to 59,16,178
2017,Profile,How old are you?,60+,16,178
2017,Profile,How old are you?,NS/NR,0,0
2019,Profile,How old are you?,16 to 29,25,600
2019,Profile,How old are you?,30 to 39,20,480
2019,Profile,How old are you?,40 to 49,18,432
2019,Profile,How old are you?,50 to 59,16,384
2019,Profile,How old are you?,60+,22,528
2021,Profile,How old are you?,16 to 29,27,810
2021,Profile,How old are you?,30 to 39,20,600
2021,Profile,How old are you?,40 to 49,18,540
2021,Profile,How old are you?,50 to 59,15,450
2021,Profile,How old are you?,60+,20,600
2023,Profile,How old are you?,16 to 29,25,5446
2023,Profile,How old are you?,30 to 39,19,4139
2023,Profile,How old are you?,40 to 49,18,3921
2023,Profile,How old are you?,50 to 59,15,3268
2023,Profile,How old are you?,60+,21,4575
2005,Profile,What is your education?,Until Complete Elementary School,31,252
2005,Profile,What is your education?,Complete high school,43,350
2005,Profile,What is your education?,Higher Education Complete or more,26,211
2005,Profile,What is your education?,NS/NR,0,0
2007,Profile,What is your education?,Until Complete Elementary School,30,239
2007,Profile,What is your education?,Complete high school,50,398
2007,Profile,What is your education?,Higher Education Complete or more,20,159
2007,Profile,What is your education?,NS/NR,0,0
2009,Profile,What is your education?,Until Complete Elementary School,28,231
2009,Profile,What is your education?,Complete high school,47,388
2009,Profile,What is your education?,Higher Education Complete or more,25,206
2009,Profile,What is your education?,NS/NR,0,0
2011,Profile,What is your education?,Until Complete Elementary School,33,446
2011,Profile,What is your education?,Complete high school,48,648
2011,Profile,What is your education?,Higher Education Complete or more,19,256
2011,Profile,What is your education?,NS/NR,0,0
2013,Profile,What is your education?,Until Complete Elementary School,24,299
2013,Profile,What is your education?,Complete high school,50,624
2013,Profile,What is your education?,Higher Education Complete or more,25,312
2013,Profile,What is your education?,NS/NR,0,0
2015,Profile,What is your education?,Until Complete Elementary School,24,264
2015,Profile,What is your education?,Complete high school,44,484
2015,Profile,What is your education?,Higher Education Complete or more,32,352
2015,Profile,What is your education?,NS/NR,1,11
2017,Profile,What is your education?,Until Complete Elementary School,49,546
2017,Profile,What is your education?,Complete high school,37,412
2017,Profile,What is your education?,Higher Education Complete or more,15,167
2017,Profile,What is your education?,NS/NR,0,0
2019,Profile,What is your education?,Until Complete Elementary School,48,1152
2019,Profile,What is your education?,Complete high school,36,864
2019,Profile,What is your education?,Higher Education Complete or more,16,384
2019,Profile,What is your education?,NS/NR,0,0
2021,Profile,What is your education?,Until Complete Elementary School,44,1320
2021,Profile,What is your education?,Complete high school,38,1140
2021,Profile,What is your education?,Higher Education Complete or more,18,540
2021,Profile,What is your education?,NS/NR,1,30
2023,Profile,What is your education?,Until Complete Elementary School,43,9368
2023,Profile,What is your education?,Complete high school,38,8279
2023,Profile,What is your education?,Higher Education Complete or more,19,4139
2005,Profile,What is your gross family income per month?,Up to 2 minimum wages,33,268
2005,Profile,What is your gross family income per month?,Between 2 and 5 minimum wages,27,220
2005,Profile,What is your gross family income per month?,More than 5 minimum wages,33,268
2005,Profile,What is your gross family income per month?,NS/NR,7,57
2007,Profile,What is your gross family income per month?,Up to 2 minimum wages,33,263
2007,Profile,What is your gross family income per month?,Between 2 and 5 minimum wages,28,223
2007,Profile,What is your gross family income per month?,More than 5 minimum wages,26,207
2007,Profile,What is your gross family income per month?,NS/NR,13,103
2009,Profile,What is your gross family income per month?,Up to 2 minimum wages,33,272
2009,Profile,What is your gross family income per month?,Between 2 and 5 minimum wages,29,239
2009,Profile,What is your gross family income per month?,More than 5 minimum wages,23,190
2009,Profile,What is your gross family income per month?,NS/NR,15,124
2019,Profile,What is your gross family income per month?,Up to 2 minimum wages,45,1080
2019,Profile,What is your gross family income per month?,Between 2 and 5 minimum wages,24,576
2019,Profile,What is your gross family income per month?,More than 5 minimum wages,13,312
2019,Profile,What is your gross family income per month?,NS/NR,18,432
2021,Profile,What is your gross family income per month?,Up to 2 minimum wages,46,1380
2021,Profile,What is your gross family income per month?,Between 2 and 5 minimum wages,20,600
2021,Profile,What is your gross family income per month?,More than 5 minimum wages,10,300
2021,Profile,What is your gross family income per month?,NS/NR,24,720
2005,Profile,What is your occupation?,Works outside,56,456
2005,Profile,What is your occupation?,Home/housewife,33,268
2005,Profile,What is your occupation?,Student,9,73
2005,Profile,What is your occupation?,NS/NR,1,8
2007,Profile,What is your occupation?,Private company employee,27,215
2007,Profile,What is your occupation?,Home/housewife,19,151
2007,Profile,What is your occupation?,Liberal Professional (autonomous),14,111
2007,Profile,What is your occupation?,Retired,8,63
2007,Profile,What is your occupation?,Maid,8,63
2007,Profile,What is your occupation?,Student,8,63
2007,Profile,What is your occupation?,Public servant,7,55
2007,Profile,What is your occupation?,Other occupations,5,39
2007,Profile,What is your occupation?,Unemployed,4,31
2007,Profile,What is your occupation?,Businesswoman,1,7
2007,Profile,What is your occupation?,NS/NR,0,0
2009,Profile,What is your occupation?,Private company employee,25,206
2009,Profile,What is your occupation?,Home/housewife,20,165
2009,Profile,What is your occupation?,Liberal Professional (autonomous),15,124
2009,Profile,What is your occupation?,Public servant,11,90
2009,Profile,What is your occupation?,Student,8,66
2009,Profile,What is your occupation?,Maid,7,57
2009,Profile,What is your occupation?,Retired,7,57
2009,Profile,What is your occupation?,Unemployed,4,33
2009,Profile,What is your occupation?,Other occupations,4,33
2009,Profile,What is your occupation?,NS/NR,0,0
2011,Profile,What is your occupation?,Home/housewife,26,351
2011,Profile,What is your occupation?,Private company employee,20,270
2011,Profile,What is your occupation?,Liberal Professional (autonomous),15,202
2011,Profile,What is your occupation?,Public servant,12,162
2011,Profile,What is your occupation?,Retired,9,121
2011,Profile,What is your occupation?,Maid,8,108
2011,Profile,What is your occupation?,Student,5,67
2011,Profile,What is your occupation?,Unemployed,4,54
2011,Profile,What is your occupation?,NS/NR,1,13
2013,Profile,What is your occupation?,Private company employee,35,436
2013,Profile,What is your occupation?,Home/housewife,19,237
2013,Profile,What is your occupation?,Liberal Professional (autonomous),14,174
2013,Profile,What is your occupation?,Public servant,11,137
2013,Profile,What is your occupation?,Retired,8,99
2013,Profile,What is your occupation?,Maid,6,74
2013,Profile,What is your occupation?,Student,4,49
2013,Profile,What is your occupation?,Unemployed,2,24
2013,Profile,What is your occupation?,NS/NR,1,12
2015,Profile,What is your occupation?,Private company employee,35,385
2015,Profile,What is your occupation?,Home/housewife,15,165
2015,Profile,What is your occupation?,Liberal Professional (autonomous),15,165
2015,Profile,What is your occupation?,Public servant,12,132
2015,Profile,What is your occupation?,Retired,7,77
2015,Profile,What is your occupation?,Student,7,77
2015,Profile,What is your occupation?,Maid,4,44
2015,Profile,What is your occupation?,Unemployed,3,33
2015,Profile,What is your occupation?,NS/NR,3,33
2017,Profile,What is your occupation?,Home/housewife,31,345
2017,Profile,What is your occupation?,Private company employee,21,234
2017,Profile,What is your occupation?,Liberal Professional (autonomous),15,167
2017,Profile,What is your occupation?,Retired,7,78
2017,Profile,What is your occupation?,Maid,7,78
2017,Profile,What is your occupation?,Student,6,66
2017,Profile,What is your occupation?,Public servant,5,55
2017,Profile,What is your occupation?,Unemployed,4,44
2017,Profile,What is your occupation?,NS/NR,6,66
2019,Profile,What is your occupation?,Private company employee,41,983
2019,Profile,What is your occupation?,Works on your own,29,696
2019,Profile,What is your occupation?,Public servant,14,336
2019,Profile,What is your occupation?,Maid,13,312
2019,Profile,What is your occupation?,Other occupations,3,72
2019,Profile,What is your occupation?,NS/NR,0,0
2021,Profile,What is your occupation?,Autonomous worker,36,1080
2021,Profile,What is your occupation?,Private company employee,20,600
2021,Profile,What is your occupation?,Maid,16,480
2021,Profile,What is your occupation?,Public servant,13,390
2021,Profile,What is your occupation?,Businesswoman,6,180
2021,Profile,What is your occupation?,Other occupations,5,150
2021,Profile,What is your occupation?,Trainee,3,90
2021,Profile,What is your occupation?,NS/NR,1,30
2005,Profile,Which region are you talking about?,Southeast,47,383
2005,Profile,Which region are you talking about?,North East,25,203
2005,Profile,Which region are you talking about?,Midwest,10,81
2005,Profile,Which region are you talking about?,North,9,73
2005,Profile,Which region are you talking about?,South,8,65
2007,Profile,Which region are you talking about?,Southeast,47,374
2007,Profile,Which region are you talking about?,North East,24,191
2007,Profile,Which region are you talking about?,Midwest,11,87
2007,Profile,Which region are you talking about?,North,9,71
2007,Profile,Which region are you talking about?,South,8,63
2009,Profile,Which region are you talking about?,Southeast,46,380
2009,Profile,Which region are you talking about?,North East,23,190
2009,Profile,Which region are you talking about?,Midwest,11,90
2009,Profile,Which region are you talking about?,North,10,82
2009,Profile,Which region are you talking about?,South,9,74
2011,Profile,Which region are you talking about?,Southeast,44,594
2011,Profile,Which region are you talking about?,North East,27,365
2011,Profile,Which region are you talking about?,South,15,202
2011,Profile,Which region are you talking about?,Midwest,7,94
2011,Profile,Which region are you talking about?,North,7,94
2013,Profile,Which region are you talking about?,Southeast,41,511
2013,Profile,Which region are you talking about?,North East,28,349
2013,Profile,Which region are you talking about?,South,14,174
2013,Profile,Which region are you talking about?,North,9,112
2013,Profile,Which region are you talking about?,Midwest,8,99
2015,Profile,Which region are you talking about?,Southeast,42,462
2015,Profile,Which region are you talking about?,North East,28,308
2015,Profile,Which region are you talking about?,South,15,165
2015,Profile,Which region are you talking about?,North,8,88
2015,Profile,Which region are you talking about?,Midwest,7,77
2017,Profile,Which region are you talking about?,Southeast,49,546
2017,Profile,Which region are you talking about?,North East,23,256
2017,Profile,Which region are you talking about?,South,15,167
2017,Profile,Which region are you talking about?,Midwest,8,89
2017,Profile,Which region are you talking about?,North,6,66
2019,Profile,Which region are you talking about?,North,8,192
2019,Profile,Which region are you talking about?,North East,27,648
2019,Profile,Which region are you talking about?,Southeast,44,1056
2019,Profile,Which region are you talking about?,South,15,360
2019,Profile,Which region are you talking about?,Midwest,8,192
2021,Profile,Which region are you talking about?,North,8,240
2021,Profile,Which region are you talking about?,North East,27,810
2021,Profile,Which region are you talking about?,Southeast,43,1290
2021,Profile,Which region are you talking about?,South,14,420
2021,Profile,Which region are you talking about?,Midwest,8,240
2023,Profile,Which region are you talking about?,North,8,1742
2023,Profile,Which region are you talking about?,North East,27,5882
2023,Profile,Which region are you talking about?,Southeast,43,9368
2023,Profile,Which region are you talking about?,South,15,3268
2023,Profile,Which region are you talking about?,Midwest,8,1742
2009,Profile,What is your religion or belief?,Catholic,55,454
2009,Profile,What is your religion or belief?,Evangelical,27,223
2009,Profile,What is your religion or belief?,Others/No Religion,18,148
2009,Profile,What is your religion or belief?,NS/NR,1,8
2011,Profile,What is your religion or belief?,Catholic,62,838
2011,Profile,What is your religion or belief?,Evangelical,28,378
2011,Profile,What is your religion or belief?,Others/No Religion,9,121
2011,Profile,What is your religion or belief?,NS/NR,1,13
2013,Profile,What is your religion or belief?,Catholic,56,698
2013,Profile,What is your religion or belief?,Evangelical,29,361
2013,Profile,What is your religion or belief?,Others/No Religion,15,187
2015,Profile,What is your religion or belief?,Catholic,52,573
2015,Profile,What is your religion or belief?,Evangelical,30,330
2015,Profile,What is your religion or belief?,Others/No Religion,18,198
2019,Profile,What is your religion or belief?,Catholic,50,1200
2019,Profile,What is your religion or belief?,Evangelical,34,816
2019,Profile,What is your religion or belief?,Others/No Religion,16,384
2021,Profile,What is your religion or belief?,Catholic,45,1350
2021,Profile,What is your religion or belief?,Evangelical,34,1020
2021,Profile,What is your religion or belief?,Others/No Religion,5,150
2021,Profile,What is your religion or belief?,Others/No Religion,11,330
2021,Profile,What is your religion or belief?,Others/No Religion,4,120
2021,Profile,What is your religion or belief?,NS/NR,0,0
2011,Profile,What is your gross individual income per month?,Up to 2 minimum wages,72,973
2011,Profile,What is your gross individual income per month?,Between 2 and 5 minimum wages,16,216
2011,Profile,What is your gross individual income per month?,More than 5 minimum wages,6,81
2011,Profile,What is your gross individual income per month?,NS/NR,6,81
2013,Profile,What is your gross individual income per month?,Up to 2 minimum wages,31,386
2013,Profile,What is your gross individual income per month?,Between 2 and 5 minimum wages,38,474
2013,Profile,What is your gross individual income per month?,More than 5 minimum wages,17,212
2013,Profile,What is your gross individual income per month?,NS/NR,14,174
2015,Profile,What is your gross individual income per month?,Up to 2 minimum wages,59,650
2015,Profile,What is your gross individual income per month?,Between 2 and 5 minimum wages,23,253
2015,Profile,What is your gross individual income per month?,More than 5 minimum wages,13,143
2015,Profile,What is your gross individual income per month?,NS/NR,5,55
2017,Profile,What is your gross individual income per month?,Up to 2 minimum wages,81,903
2017,Profile,What is your gross individual income per month?,Between 2 and 5 minimum wages,13,145
2017,Profile,What is your gross individual income per month?,More than 5 minimum wages,5,55
2017,Profile,What is your gross individual income per month?,NS/NR,1,11
2011,Profile,What is your color or race?,White,47,635
2011,Profile,What is your color or race?,Black / brown,47,635
2011,Profile,What is your color or race?,Yellow / indigenous,4,54
2011,Profile,What is your color or race?,NS/NR,1,13
2013,Profile,What is your color or race?,White,51,636
2013,Profile,What is your color or race?,Black / brown,43,536
2013,Profile,What is your color or race?,Yellow / indigenous,4,49
2013,Profile,What is your color or race?,NS/NR,2,24
2015,Profile,What is your color or race?,White,53,584
2015,Profile,What is your color or race?,Black / brown,42,462
2015,Profile,What is your color or race?,Yellow / indigenous,4,44
2015,Profile,What is your color or race?,NS/NR,1,11
2017,Profile,What is your color or race?,Black / brown,49,546
2017,Profile,What is your color or race?,White,44,491
2017,Profile,What is your color or race?,Yellow / indigenous,4,44
2017,Profile,What is your color or race?,NS/NR,3,33
2019,Profile,What is your color or race?,White,44,1056
2019,Profile,What is your color or race?,Black / brown,54,1296
2019,Profile,What is your color or race?,Yellow / indigenous,1,24
2021,Profile,What is your color or race?,Black / brown,54,1620
2021,Profile,What is your color or race?,White,45,1350
2021,Profile,What is your color or race?,Yellow / indigenous,1,30
2023,Profile,What is your color or race?,White,41,8932
2023,Profile,What is your color or race?,Black / brown,54,11764
2023,Profile,What is your color or race?,Yellow / indigenous,4,871
2017,Profile,What is your marital status?,Married,46,513
2017,Profile,What is your marital status?,Single,35,390
2017,Profile,What is your marital status?,Widow,6,66
2017,Profile,What is your marital status?,Divorced,5,55
2017,Profile,What is your marital status?,Stable union,4,44
2017,Profile,What is your marital status?,Separated,2,22
2017,Profile,What is your marital status?,NS/NR,1,11
2021,Profile,What is your marital status?,Married,39,1170
2021,Profile,What is your marital status?,Single,37,1110
2021,Profile,What is your marital status?,Stable union,10,300
2021,Profile,What is your marital status?,Widow,6,180
2021,Profile,What is your marital status?,Divorced,5,150
2021,Profile,What is your marital status?,Separated,2,60
2021,Profile,What is your marital status?,NS/NR,1,30
2019,Profile,You:,Live from income,2,48
2019,Profile,You:,Is retired,24,576
2019,Profile,You:,Is a student,7,168
2019,Profile,You:,He is a housewife,37,888
2019,Profile,You:,He is a pensioner,9,216
2019,Profile,You:,Is unemployed,18,432
2019,Profile,You:,Other,3,72
2019,Profile,You:,NS/NR,0,0
2021,Profile,"And in your home, family income is generated:",Mainly for you,23,690
2021,Profile,"And in your home, family income is generated:",Mainly by someone else,35,1050
2021,Profile,"And in your home, family income is generated:",For you and another person (s) in the same proportion,41,1230
2021,Profile,"And in your home, family income is generated:",NS/NR,2,60
2021,Profile,Do you consider yourself financially independent?,Yes,64,1920
2021,Profile,Do you consider yourself financially independent?,No,35,1050
2021,Profile,Do you consider yourself financially independent?,NS/NR,1,30
2021,Profile,Are the household tasks of your home responsibly?,Most of the time,75,2250
2021,Profile,Are the household tasks of your home responsibly?,In the minority of the time,17,510
2021,Profile,Are the household tasks of your home responsibly?,They are not their responsibility,6,180
2021,Profile,Are the household tasks of your home responsibly?,NS/NR,2,60
2021,Profile,Exercised paid work last week,Yes*,53,1590
2021,Profile,Exercised paid work last week,No,46,1380
2021,Profile,Exercised paid work last week,NS/NR,1,30
2021,Profile,Municipality,Up to 50 thousand inhabitants,31,930
2021,Profile,Municipality,More than 50 thousand up to 500 thousand inhabitants,37,1110
2021,Profile,Municipality,More than 500 thousand inhabitants,32,960
2023,Profile,Municipality,Up to 50 thousand inhabitants,30,6536
2023,Profile,Municipality,More than 50 thousand up to 500 thousand inhabitants,39,8496
2023,Profile,Municipality,More than 500 thousand inhabitants,31,6753
2023,Profile,Federation unit,São Paulo,23,5011
2023,Profile,Federation unit,Minas Gerais,10,2178
2023,Profile,Federation unit,Rio de Janeiro,8,1742
2023,Profile,Federation unit,Bahia,7,1525
2023,Profile,Federation unit,Paraná,6,1307
2023,Profile,Federation unit,Rio Grande do Sul,6,1307
2023,Profile,Federation unit,Pernambuco,4,871
2023,Profile,Federation unit,Ceará,4,871
2023,Profile,Federation unit,Santa Catarina,4,871
2023,Profile,Federation unit,To,4,871
2023,Profile,Federation unit,Goiás,3,653
2023,Profile,Federation unit,Maranhão,3,653
2023,Profile,Federation unit,Paraíba,2,435
2023,Profile,Federation unit,Holy Spirit,2,435
2023,Profile,Federation unit,Amazonas,2,435
2023,Profile,Federation unit,Mato Grosso,2,435
2023,Profile,Federation unit,Rio Grande do Norte,2,435
2023,Profile,Federation unit,Piauí,2,435
2023,Profile,Federation unit,Alagoas,2,435
2023,Profile,Federation unit,Federal district,1,217
2023,Profile,Federation unit,Mato Grosso do Sul,1,217
2023,Profile,Federation unit,Sergipe,1,217
2023,Profile,Federation unit,Rondônia,1,217
2023,Profile,Federation unit,Tocantins,1,217
2023,Profile,Federation unit,Acre,0,0
2023,Profile,Federation unit,Amapá,0,0
2023,Profile,Federation unit,Roraima,0,0
2023,Profile,Family income in minimum wages,Up to 2,57,12418
2023,Profile,Family income in minimum wages,Between 2 and 6,24,5228
2023,Profile,Family income in minimum wages,More than 6,9,1960
2023,Profile,Family income in minimum wages,NS/NR,10,2178
2007,Society and domestic and family violence,What do you think society can do to decrease or prevent domestic and family violence against women?,Denounce,36,286
2007,Society and domestic and family violence,What do you think society can do to decrease or prevent domestic and family violence against women?,Intensify campaigns to disseminate women's rights,21,167
2007,Society and domestic and family violence,What do you think society can do to decrease or prevent domestic and family violence against women?,Improve care for victims,14,111
2007,Society and domestic and family violence,What do you think society can do to decrease or prevent domestic and family violence against women?,Enable community leaders to intervene in emergencies,10,79
2007,Society and domestic and family violence,What do you think society can do to decrease or prevent domestic and family violence against women?,Others,8,63
2007,Society and domestic and family violence,What do you think society can do to decrease or prevent domestic and family violence against women?,Stimulate social debate on the topic,6,47
2007,Society and domestic and family violence,What do you think society can do to decrease or prevent domestic and family violence against women?,Divide household responsibilities more,4,31
2007,Society and domestic and family violence,What do you think society can do to decrease or prevent domestic and family violence against women?,NS/NR,1,7
2009,Society and domestic and family violence,What do you think society can do to decrease or prevent domestic and family violence against women?,Intensify campaigns to disseminate women's rights,34,281
2009,Society and domestic and family violence,What do you think society can do to decrease or prevent domestic and family violence against women?,Denounce,30,248
2009,Society and domestic and family violence,What do you think society can do to decrease or prevent domestic and family violence against women?,NS/NR,3,24
2009,Society and domestic and family violence,What do you think society can do to decrease or prevent domestic and family violence against women?,Improve care for victims,26,215
2009,Society and domestic and family violence,What do you think society can do to decrease or prevent domestic and family violence against women?,Stimulate social debate on the topic,20,165
2009,Society and domestic and family violence,What do you think society can do to decrease or prevent domestic and family violence against women?,Enable community leaders to intervene in emergencies,15,124
2009,Society and domestic and family violence,What do you think society can do to decrease or prevent domestic and family violence against women?,Others,13,107
2009,Society and domestic and family violence,What do you think society can do to decrease or prevent domestic and family violence against women?,Divide household responsibilities more,12,99
2009,Society and domestic and family violence,"In your opinion, who can report an act of physical aggression committed against a woman in her family environment?",The victim,47,388
2009,Society and domestic and family violence,"In your opinion, who can report an act of physical aggression committed against a woman in her family environment?",Anyone who is aware of the fact,46,380
2009,Society and domestic and family violence,"In your opinion, who can report an act of physical aggression committed against a woman in her family environment?",People who witnessed aggression,19,157
2011,Society and domestic and family violence,"In your opinion, who can report an act of physical aggression committed against a woman in her family environment?",The victim,48,648
2011,Society and domestic and family violence,"In your opinion, who can report an act of physical aggression committed against a woman in her family environment?",Anyone who is aware of the fact,41,554
2011,Society and domestic and family violence,"In your opinion, who can report an act of physical aggression committed against a woman in her family environment?",People who witnessed aggression,21,283
2013,Society and domestic and family violence,"In your opinion, who can report an act of physical aggression committed against a woman in her family environment?",The victim,61,761
2013,Society and domestic and family violence,"In your opinion, who can report an act of physical aggression committed against a woman in her family environment?",Anyone who is aware of the fact,60,748
2013,Society and domestic and family violence,"In your opinion, who can report an act of physical aggression committed against a woman in her family environment?",People who witnessed aggression,34,424
2015,Society and domestic and family violence,"In your opinion, who can report an act of physical aggression committed against a woman in her family environment?",Anyone who is aware of the fact,64,705
2015,Society and domestic and family violence,"In your opinion, who can report an act of physical aggression committed against a woman in her family environment?",The victim,59,650
2015,Society and domestic and family violence,"In your opinion, who can report an act of physical aggression committed against a woman in her family environment?",People who witnessed aggression,33,363
2011,Society and domestic and family violence,"If you witnessed an act of aggression against a woman, you would report:",Yes,81,1095
2011,Society and domestic and family violence,"If you witnessed an act of aggression against a woman, you would report:",No,15,202
2011,Society and domestic and family violence,"If you witnessed an act of aggression against a woman, you would report:",NS/NR,4,54
2013,Society and domestic and family violence,"If you witnessed an act of aggression against a woman, you would report:",Yes,88,1098
2013,Society and domestic and family violence,"If you witnessed an act of aggression against a woman, you would report:",No,9,112
2013,Society and domestic and family violence,"If you witnessed an act of aggression against a woman, you would report:",NS/NR,3,37
2015,Society and domestic and family violence,"If you witnessed an act of aggression against a woman, you would report:",Yes,89,980
2015,Society and domestic and family violence,"If you witnessed an act of aggression against a woman, you would report:",No,8,88
2015,Society and domestic and family violence,"If you witnessed an act of aggression against a woman, you would report:",NS/NR,2,22
2017,Society and domestic and family violence,"If you witnessed an act of aggression against a woman, you would report:",No,8,89
2017,Society and domestic and family violence,"If you witnessed an act of aggression against a woman, you would report:",NS/NR,2,22
2017,Society and domestic and family violence,"If you witnessed an act of aggression against a woman, you would report:",Yes,90,1004
2019,Society and domestic and family violence,"If you witnessed an act of aggression against a woman, you would report:",Yes,61,1464
2019,Society and domestic and family violence,"If you witnessed an act of aggression against a woman, you would report:",Depending on the situation,32,768
2019,Society and domestic and family violence,"If you witnessed an act of aggression against a woman, you would report:",No,6,144
2019,Society and domestic and family violence,"If you witnessed an act of aggression against a woman, you would report:",NS/NR,1,24
2017,Society and domestic and family violence,"In general, you consider Brazil a country:",Very macho,69,770
2017,Society and domestic and family violence,"In general, you consider Brazil a country:",Numbered,2,22
2017,Society and domestic and family violence,"In general, you consider Brazil a country:",Uncommon,28,312
